filter,jd,mag,magerr
ATLAS_o,2458649.068973,18.634,0.164
ATLAS_o,2458649.072407,18.385,0.132
ATLAS_o,2458649.077938,18.848,0.183
ATLAS_o,2458649.091863,18.842,0.132
ATLAS_o,2458651.064107,18.74,0.184
ATLAS_o,2458651.066858,18.906,0.194
ATLAS_o,2458651.073877,18.586,0.135
ATLAS_o,2458651.083813,18.674,0.196
ATLAS_o,2458653.028197,18.462,0.218
ATLAS_o,2458653.031449,18.35,0.203
ATLAS_o,2458653.037142,18.441,0.196
ATLAS_o,2458653.047918,18.398,0.167
ATLAS_o,2458655.016576,18.154,0.142
ATLAS_o,2458655.020245,18.204,0.129
ATLAS_o,2458655.025371,18.317,0.132
ATLAS_o,2458655.036822,18.456,0.179
ATLAS_o,2458657.073375,18.379,0.163
ATLAS_o,2458657.07645,18.13,0.14
ATLAS_o,2458657.082894,18.396,0.172
ATLAS_o,2458657.092688,18.241,0.18
ATLAS_o,2458660.997185,18.023,0.13
ATLAS_o,2458661.007753,18.257,0.117
ATLAS_c,2458667.026847,18.24,0.052
ATLAS_c,2458667.030534,18.397,0.059
ATLAS_c,2458667.03626,18.3,0.066
ATLAS_c,2458667.046587,18.358,0.054
ATLAS_o,2458669.073986,18.109,0.081
ATLAS_o,2458669.076815,18.044,0.062
ATLAS_o,2458669.082115,18.149,0.075
ATLAS_o,2458669.094463,18.074,0.07
ATLAS_o,2458669.128334,17.147,0.225
ATLAS_o,2458670.949623,18.379,0.13
ATLAS_o,2458670.95503,18.002,0.079
ATLAS_o,2458670.958305,18.25,0.101
ATLAS_o,2458670.968566,18.316,0.107
ATLAS_o,2458676.98861,18.158,0.103
ATLAS_o,2458676.991944,18.526,0.124
ATLAS_o,2458677.000461,18.209,0.094
ATLAS_o,2458677.011114,18.105,0.071
ATLAS_o,2458679.105285,18.278,0.071
ATLAS_o,2458679.112933,18.366,0.059
ATLAS_o,2458679.116913,18.294,0.061
ATLAS_o,2458679.126206,18.839,0.273
ATLAS_o,2458681.039984,18.033,0.119
ATLAS_o,2458681.043073,17.898,0.098
ATLAS_o,2458681.048914,18.087,0.106
ATLAS_o,2458681.059593,17.991,0.108
ATLAS_o,2458683.005282,17.855,0.221
ATLAS_o,2458689.085241,18.331,0.092
ATLAS_o,2458689.089235,18.295,0.084
ATLAS_o,2458689.09508,18.378,0.096
ATLAS_o,2458689.106939,18.29,0.088
ATLAS_o,2458691.030049,18.28,0.055
ATLAS_o,2458691.033252,18.414,0.062
ATLAS_o,2458691.039847,18.438,0.068
ATLAS_o,2458691.051417,18.288,0.056
ATLAS_o,2458693.010726,18.272,0.067
ATLAS_o,2458693.013995,18.351,0.078
ATLAS_o,2458693.019528,18.312,0.068
ATLAS_o,2458693.030078,18.448,0.086
ATLAS_c,2458695.074998,18.535,0.065
ATLAS_c,2458695.078657,18.629,0.077
ATLAS_c,2458695.086084,18.686,0.07
ATLAS_c,2458695.097279,18.796,0.083
ATLAS_o,2458697.015293,18.138,0.084
ATLAS_o,2458697.018672,18.463,0.172
ATLAS_o,2458697.025682,18.345,0.11
ATLAS_o,2458697.038267,18.545,0.184
ATLAS_o,2458701.019858,18.514,0.092
ATLAS_o,2458701.025273,18.273,0.078
ATLAS_o,2458701.028505,18.642,0.107
ATLAS_o,2458701.040919,18.226,0.073
ATLAS_c,2458702.87237,18.834,0.145
ATLAS_c,2458702.876303,18.475,0.097
ATLAS_c,2458702.89179,18.539,0.169
ATLAS_o,2458705.071676,18.182,0.077
ATLAS_o,2458705.074924,18.454,0.086
ATLAS_o,2458705.084511,18.486,0.096
ATLAS_o,2458705.094911,18.232,0.109
ATLAS_o,2458708.941244,18.305,0.165
ATLAS_o,2458708.944496,18.835,0.283
ATLAS_o,2458708.950528,18.283,0.181
ATLAS_o,2458708.961709,18.371,0.167
ATLAS_o,2458718.994965,18.461,0.079
ATLAS_o,2458718.998176,18.553,0.077
ATLAS_o,2458719.004755,18.503,0.092
ATLAS_o,2458719.02136,18.531,0.092
ATLAS_o,2458721.106745,18.501,0.075
ATLAS_o,2458721.109565,18.479,0.075
ATLAS_o,2458721.114775,18.508,0.077
ATLAS_o,2458721.123269,18.556,0.093
ATLAS_o,2458724.997558,18.47,0.064
ATLAS_o,2458725.001345,18.674,0.061
ATLAS_o,2458725.006978,18.451,0.07
ATLAS_o,2458725.020891,18.449,0.046
ATLAS_c,2458726.933379,18.882,0.1
ATLAS_c,2458726.940445,18.599,0.086
ATLAS_c,2458726.943662,18.692,0.085
ATLAS_c,2458726.955822,18.815,0.082
ATLAS_c,2458730.938757,18.566,0.075
ATLAS_c,2458730.94423,18.793,0.093
ATLAS_c,2458730.947537,18.802,0.088
ATLAS_c,2458730.960642,18.886,0.104
ATLAS_o,2458736.932246,18.667,0.137
ATLAS_o,2458736.935041,18.423,0.101
ATLAS_o,2458736.94208,18.728,0.158
ATLAS_o,2458736.95366,18.654,0.121
ATLAS_c,2458750.918517,19.563,0.149
ATLAS_c,2458750.921518,19.542,0.156
ATLAS_c,2458750.92678,19.453,0.133
ATLAS_c,2458750.937658,19.387,0.13
ATLAS_o,2458752.935002,19.225,0.112
ATLAS_o,2458752.938742,19.267,0.106
ATLAS_o,2458752.94398,19.294,0.117
ATLAS_o,2458752.953879,19.436,0.166
ATLAS_o,2458756.90264,19.52,0.209
ATLAS_o,2458756.906324,19.704,0.212
ATLAS_o,2458756.911719,19.378,0.168
ATLAS_o,2458756.925467,19.898,0.26
ATLAS_o,2458760.966978,19.943,0.309
ATLAS_o,2458760.979072,19.667,0.325
ATLAS_o,2458762.811059,19.84,0.26
ATLAS_o,2458772.89865,19.5,0.269
ATLAS_o,2458780.853506,20.338,0.325
ATLAS_o,2458790.78209,20.073,0.332
ATLAS_o,2458812.769685,20.04,0.252
ATLAS_o,2458816.812283,20.077,0.307
ZTF_g,2458651.9760069,18.112043,0.12398178
ZTF_r,2458655.9409259,18.058014,0.072747335
ZTF_g,2458660.9581829,17.982256,0.039372213
ZTF_r,2458666.9220602,18.06638,0.046937175
ZTF_r,2458669.9377431,18.05269,0.043599278
ZTF_g,2458669.960162,18.208227,0.058552265
ZTF_g,2458672.9259606,18.294321,0.06304884
ZTF_r,2458672.9621065,18.029757,0.05100854
ZTF_g,2458675.945463,18.365435,0.06871025
ZTF_r,2458675.9821991,18.029064,0.04418559
ZTF_r,2458678.9794907,18.113195,0.05684594
ZTF_r,2458681.9347222,18.10394,0.07444747
ZTF_r,2458688.9108565,18.1841,0.059077
ZTF_g,2458688.9416088,18.665447,0.08461839
ZTF_r,2458691.9190278,18.16661,0.0525073
ZTF_r,2458694.884294,18.195562,0.061100762
ZTF_g,2458695.9327315,18.7525,0.08517641
ZTF_r,2458697.9184491,18.251213,0.048028473
ZTF_g,2458703.9601505,18.803795,0.070142545
ZTF_r,2458707.9632639,18.219719,0.06425919
ZTF_r,2458710.8813657,18.297272,0.077182144
ZTF_g,2458710.9628704,18.75974,0.1799665
ZTF_r,2458715.8773843,18.302053,0.08392181
ZTF_g,2458716.0039931,18.644432,0.15119192
ZTF_r,2458718.8715741,18.248676,0.10067309
ZTF_g,2458718.8983449,19.080313,0.10952388
ZTF_r,2458719.936713,18.246586,0.056660622
ZTF_r,2458724.9008449,18.29855,0.0551654
ZTF_g,2458724.9214931,19.06742,0.09273413
ZTF_g,2458727.8773148,19.014141,0.0851757
ZTF_g,2458730.8317014,19.117134,0.1064012
ZTF_r,2458730.8770833,18.370382,0.067539774
ZTF_g,2458733.8710648,19.156687,0.09924165
ZTF_r,2458737.8330093,18.492905,0.0983633
ZTF_g,2458737.9595139,19.30175,0.14589342
ZTF_r,2458743.8376505,18.598772,0.10182974
ZTF_g,2458743.8800463,19.2302,0.284253
ZTF_g,2458746.8795833,19.7202,0.220105
ZTF_r,2458748.8623264,18.846512,0.08392284
ZTF_r,2458749.7846065,18.850817,0.08114315
ZTF_g,2458749.8172685,19.9297,0.231453
ZTF_g,2458754.7917593,20.2738,0.372386
ZTF_r,2458757.7947338,19.508598,0.14602779
ZTF_r,2458760.7944792,19.755758,0.14126514
ZTF_r,2458781.7491667,20.0734,0.250675
ZTF_r,2458785.749919,20.2635,0.251864
ZTF_r,2458789.728669,20.1884,0.315506
ZTF_r,2458803.7331713,19.902863,0.1875999
B,2458652.8,18.1442,0.0396
V,2458652.8,18.1506,0.0524
B,2458653.8,18.0804,0.0229
V,2458653.8,18.1838,0.0274
U,2458652.811,17.3522,0.0671
U,2458652.815,17.2548,0.0601
B,2458652.819,18.0758,0.0415
B,2458652.822,18.1386,0.0433
V,2458652.824,18.2627,0.0605
V,2458652.826,18.2666,0.0537
g,2458652.828,17.965,0.0349
g,2458652.831,18.0372,0.0339
r,2458652.833,18.1792,0.053
r,2458652.835,18.2506,0.0567
i,2458652.837,18.312,0.0733
i,2458652.839,18.3454,0.0821
U,2458653.885,17.1572,0.0344
U,2458653.888,17.1393,0.0374
B,2458653.892,18.0393,0.0275
B,2458653.895,18.0362,0.027
V,2458653.898,18.2268,0.0279
V,2458653.899,18.2631,0.0286
g,2458653.901,17.9655,0.0211
g,2458653.904,17.995,0.0239
r,2458653.907,18.178,0.0324
r,2458653.908,18.2103,0.0288
i,2458653.91,18.3722,0.0364
i,2458653.912,18.422,0.0522
U,2458655.664,17.3051,0.0545
U,2458655.667,17.3288,0.054
B,2458655.671,18.0571,0.0455
B,2458655.674,18.1,0.041
V,2458655.677,18.1881,0.0516
V,2458655.678,18.1781,0.0525
g,2458655.68,17.9248,0.0304
g,2458655.683,17.9512,0.0314
r,2458655.686,18.1642,0.0437
r,2458655.687,18.0669,0.0418
i,2458655.689,18.2207,0.0548
i,2458655.691,18.2975,0.0641
U,2458656.881,17.4032,0.0804
U,2458656.884,17.2577,0.0714
B,2458656.888,18.2289,0.0516
B,2458656.891,18.2426,0.0611
V,2458656.894,18.2131,0.0685
V,2458656.895,18.1853,0.0451
g,2458656.897,18.0586,0.032
g,2458656.9,18.0176,0.0266
r,2458656.903,18.1703,0.0464
r,2458656.904,18.0686,0.0452
i,2458656.906,18.4165,0.0875
i,2458656.908,18.2385,0.0724
U,2458661.28,17.3918,0.0447
U,2458661.284,17.4947,0.0437
B,2458661.288,18.2333,0.0267
B,2458661.291,18.2243,0.0288
V,2458661.293,18.2412,0.0286
V,2458661.295,18.2421,0.027
g,2458661.297,18.0978,0.0163
g,2458661.3,18.0731,0.0163
r,2458661.302,18.0756,0.0279
r,2458661.304,18.1009,0.0282
i,2458661.306,18.2518,0.0386
i,2458661.308,18.1704,0.0411
U,2458663.254,17.6014,0.0446
U,2458663.257,17.5737,0.0411
B,2458663.261,18.2702,0.0248
B,2458663.264,18.2639,0.0252
V,2458663.267,18.2546,0.0244
V,2458663.269,18.2952,0.0265
g,2458663.27,18.1034,0.0146
g,2458663.273,18.0673,0.0163
r,2458663.276,18.1202,0.0235
r,2458663.278,18.0592,0.0245
i,2458663.279,18.2257,0.0371
i,2458663.281,18.1822,0.0357
U,2458665.231,17.7717,0.0732
U,2458665.235,18.0015,0.0955
B,2458665.239,18.3707,0.0717
B,2458665.242,18.3617,0.0431
V,2458665.244,18.299,0.0727
V,2458665.246,18.2517,0.0514
g,2458665.248,18.1325,0.0277
g,2458665.251,18.1582,0.0248
r,2458665.253,18.0799,0.053
r,2458665.255,18.1234,0.0357
i,2458665.257,18.1964,0.0525
i,2458665.259,18.1065,0.0884
U,2458666.299,17.6746,0.053
U,2458666.303,17.6755,0.0531
B,2458666.307,18.3666,0.0271
B,2458666.309,18.3863,0.0275
V,2458666.312,18.3273,0.0301
V,2458666.314,18.2983,0.0254
g,2458666.316,18.181,0.0148
g,2458666.318,18.1768,0.0151
r,2458666.321,18.1034,0.0239
r,2458666.323,18.0918,0.0242
i,2458666.325,18.2277,0.0365
i,2458666.326,18.1661,0.0339
g,2458672.871,18.2923,0.1173
g,2458672.874,18.3616,0.2613
B,2458674.543,18.5807,0.0294
B,2458674.546,18.5867,0.0304
V,2458674.549,18.3143,0.0444
V,2458674.55,18.3198,0.0449
g,2458674.552,18.3121,0.0176
g,2458674.555,18.2711,0.0161
r,2458674.558,18.034,0.0243
r,2458674.559,18.0592,0.0255
i,2458674.561,18.1388,0.0377
i,2458674.563,18.0947,0.0379
B,2458678.916,18.7866,0.0337
B,2458678.919,18.797,0.0348
V,2458678.922,18.4214,0.0262
V,2458678.923,18.4023,0.0274
g,2458678.925,18.4657,0.0213
B,2458678.938,18.7876,0.0308
B,2458678.94,18.8045,0.0535
V,2458678.943,18.3765,0.0238
V,2458678.945,18.4157,0.0267
g,2458678.947,18.459,0.0179
g,2458678.949,18.4575,0.0179
r,2458678.952,18.0928,0.0222
r,2458678.954,18.1059,0.0226
B,2458679.922,18.8146,0.038
B,2458679.924,18.8347,0.0363
V,2458679.927,18.442,0.0263
V,2458679.929,18.4278,0.027
g,2458679.93,18.5276,0.0214
g,2458679.933,18.5117,0.0223
r,2458679.938,18.0926,0.0319
i,2458679.939,18.1987,0.0186
i,2458679.941,18.1847,0.0361
B,2458683.894,18.8866,0.0407
B,2458683.896,18.9326,0.0459
V,2458683.899,18.4649,0.0331
V,2458683.901,18.3542,0.0329
g,2458683.903,18.6054,0.0219
g,2458683.905,18.5598,0.0266
r,2458683.908,18.105,0.0233
r,2458683.91,18.1603,0.0299
i,2458683.911,18.1313,0.0314
i,2458683.913,18.2024,0.0346
B,2458688.298,19.0402,0.0476
B,2458688.301,19.0954,0.043
V,2458688.304,18.5385,0.0362
V,2458688.306,18.5252,0.0361
g,2458688.307,18.6596,0.0245
g,2458688.31,18.6541,0.0218
r,2458688.313,18.1964,0.0268
r,2458688.315,18.1549,0.0253
i,2458688.316,18.2249,0.0381
i,2458688.318,18.208,0.0396
U,2458692.619,19.4758,0.1812
B,2458692.623,19.0851,0.0387
B,2458692.625,19.07,0.0396
V,2458692.628,18.6075,0.0394
V,2458692.63,18.5331,0.0367
g,2458692.632,18.7564,0.0244
g,2458692.634,18.7211,0.0264
r,2458692.637,18.1794,0.0304
r,2458692.639,18.1955,0.0324
i,2458692.641,18.229,0.0491
i,2458692.642,18.2933,0.0504
B,2458695.885,19.203,0.0375
B,2458695.887,19.2381,0.0385
V,2458695.89,18.5286,0.024
V,2458695.892,18.578,0.0254
g,2458695.894,18.8045,0.0176
g,2458695.896,18.7809,0.0174
r,2458695.899,18.2093,0.0269
r,2458695.901,18.253,0.0262
i,2458695.903,18.2007,0.0347
i,2458695.904,18.2234,0.0357
B,2458699.771,19.256,0.0337
B,2458699.774,19.3464,0.0544
V,2458699.777,18.5812,0.0248
V,2458699.778,18.597,0.0267
g,2458699.78,18.844,0.0215
g,2458699.783,18.8345,0.0223
r,2458699.786,18.2556,0.0277
r,2458699.787,18.2417,0.0275
i,2458699.789,18.2998,0.0284
i,2458699.791,18.2466,0.0342
B,2458702.087,19.2948,0.027
B,2458702.091,19.3011,0.0273
V,2458702.095,18.6149,0.0232
V,2458702.097,18.6246,0.0246
g,2458702.1,18.8188,0.0176
g,2458702.104,18.8387,0.016
r,2458702.108,18.2566,0.0246
r,2458702.111,18.2644,0.0246
i,2458702.113,18.2444,0.0292
i,2458702.116,18.2621,0.0334
B,2458707.712,19.3696,0.054
B,2458707.715,19.2058,0.0512
V,2458707.719,18.5624,0.033
V,2458707.722,18.6068,0.0374
g,2458707.725,18.7966,0.0268
g,2458707.729,18.8492,0.0266
r,2458707.732,18.2688,0.0281
r,2458707.735,18.2551,0.0261
i,2458707.738,18.2453,0.0335
i,2458707.741,18.2274,0.0329
B,2458715.929,19.4457,0.0709
B,2458715.933,19.4063,0.0787
V,2458715.937,18.634,0.0438
V,2458715.939,18.6251,0.0447
g,2458715.942,18.9303,0.047
g,2458715.946,18.9826,0.0511
r,2458715.95,18.2887,0.0342
r,2458715.953,18.2615,0.0353
i,2458715.955,18.3143,0.0389
i,2458715.958,18.2821,0.0359
B,2458721.866,19.5385,0.0361
V,2458721.87,18.7031,0.0261
V,2458721.873,18.6912,0.0262
g,2458721.875,19.0093,0.0235
g,2458721.879,19.0048,0.0225
r,2458721.883,18.26,0.025
r,2458721.886,18.296,0.026
i,2458721.889,18.3377,0.0217
i,2458721.891,18.3606,0.0314
B,2458727.502,19.6364,0.0546
B,2458727.506,19.6417,0.057
V,2458727.51,18.6956,0.0307
V,2458727.513,18.7163,0.0286
g,2458727.515,19.0734,0.0207
g,2458727.519,19.0795,0.0216
r,2458727.523,18.3193,0.0292
r,2458727.526,18.3234,0.0289
i,2458727.529,18.3049,0.0285
i,2458727.531,18.3599,0.0308
B,2458733.802,19.7397,0.0395
B,2458733.806,19.8124,0.0369
V,2458733.81,18.8654,0.0268
V,2458733.813,18.8557,0.0293
g,2458733.816,19.2473,0.0204
g,2458733.819,19.2472,0.0246
r,2458733.823,18.4214,0.0249
r,2458733.826,18.4377,0.0235
i,2458733.829,18.3967,0.0333
i,2458733.831,18.4491,0.0316
V,2458743.578,19.0467,0.1236
V,2458743.581,19.0912,0.0869
g,2458743.583,19.5693,0.0879
g,2458743.587,19.6866,0.0986
r,2458743.591,18.7105,0.0909
r,2458743.594,18.4346,0.0718
i,2458743.597,18.5072,0.0966
i,2458743.599,18.6581,0.1085
V,2458747.776,19.3295,0.0422
V,2458747.78,19.4054,0.0461
g,2458747.784,19.7985,0.0407
g,2458747.789,19.7858,0.0388
r,2458747.794,18.8179,0.031
r,2458747.798,18.7727,0.0326
i,2458747.802,18.7686,0.0359
i,2458747.806,18.7214,0.0345
B,2458750.698,20.6642,0.0967
B,2458750.703,20.7034,0.0857
V,2458750.708,19.4496,0.037
V,2458750.712,19.458,0.0352
g,2458750.716,20.0065,0.0293
g,2458750.721,19.9804,0.026
r,2458750.726,18.959,0.0269
r,2458750.73,18.9042,0.028
i,2458750.734,18.926,0.034
i,2458750.738,18.8941,0.0338
B,2458752.493,20.7588,0.0528
B,2458752.498,20.8075,0.0705
V,2458752.503,19.5711,0.0348
V,2458752.507,19.5893,0.0364
g,2458752.511,20.1082,0.0277
g,2458752.516,20.1694,0.0294
r,2458752.521,19.0679,0.0338
r,2458752.525,19.0593,0.0382
i,2458752.529,18.9595,0.0372
i,2458752.533,18.9428,0.0394
B,2458754.294,20.9676,0.0742
B,2458754.299,21.0852,0.0782
V,2458754.304,19.7519,0.0353
V,2458754.308,19.8002,0.0437
g,2458754.312,20.311,0.0337
g,2458754.317,20.3308,0.0316
r,2458754.322,19.1253,0.0243
r,2458754.326,19.1989,0.0413
B,2458756.67,21.3337,0.0947
V,2458756.675,20.0851,0.0369
V,2458756.679,20.1099,0.0452
g,2458756.683,20.7054,0.0403
g,2458756.688,20.6763,0.0386
r,2458756.693,19.3764,0.0316
r,2458756.696,19.3463,0.0298
i,2458756.7,19.3779,0.0364
i,2458756.704,19.3684,0.0362
V,2458761.402,20.6843,0.0712
V,2458761.406,20.6127,0.0722
g,2458761.41,21.2553,0.0759
g,2458761.415,21.2476,0.0758
r,2458761.42,19.7051,0.0571
r,2458761.424,19.6619,0.0709
i,2458761.428,19.8422,0.0617
i,2458761.432,19.9709,0.0447
V,2458763.526,20.6303,0.1314
V,2458763.53,20.3927,0.1085
g,2458763.538,20.9048,0.1316
r,2458763.544,20.0147,0.0714
r,2458763.547,19.9443,0.0744
i,2458763.551,19.9533,0.0878
i,2458763.555,19.8702,0.1563
V,2458765.387,20.783,0.0962
V,2458765.391,20.8768,0.0952
r,2458765.394,20.0554,0.0585
r,2458765.398,20.0087,0.0516
r,2458770.268,19.8896,0.179
r,2458770.271,19.9287,0.207
i,2458770.279,20.1802,0.2993
V,2458774.707,21.0067,0.1305
V,2458774.71,20.8807,0.0986
r,2458774.714,19.9798,0.0575
r,2458774.718,19.9861,0.0513
i,2458774.722,20.3293,0.0865
i,2458774.726,20.1315,0.0757
V,2458778.746,21.0498,0.0828
V,2458778.749,20.8646,0.0757
r,2458778.753,20.0303,0.0508
r,2458778.757,20.0136,0.0498
i,2458778.761,20.1964,0.0875
i,2458778.765,20.1472,0.0768
V,2458786.718,20.9897,0.0691
V,2458786.722,20.9706,0.0582
r,2458786.726,20.0901,0.0338
r,2458786.729,20.1316,0.0326
i,2458786.733,20.3244,0.0544
i,2458786.737,20.3102,0.0576
V,2458793.626,21.0471,0.1553
V,2458793.63,21.4628,0.2252
r,2458793.633,20.0351,0.0616
r,2458793.637,20.1128,0.0624
i,2458793.641,20.3453,0.0985
i,2458793.645,20.5692,0.1262
V,2458800.571,21.1036,0.3142
r,2458800.579,20.0707,0.0892
r,2458800.583,20.3354,0.137
V,2458800.603,21.2938,0.2642
r,2458800.607,20.2476,0.0902
r,2458800.611,20.0964,0.0758
i,2458800.615,20.4839,0.1641
i,2458800.618,20.6077,0.163
V,2458810.534,21.4012,0.1434
V,2458810.538,21.3008,0.1314
r,2458810.541,20.2653,0.0617
r,2458810.545,20.2503,0.0589
i,2458810.553,20.7212,0.0852
V,2458817.592,21.4663,0.1414
V,2458817.596,21.4301,0.1603
r,2458817.6,20.3537,0.0592
r,2458817.604,20.2922,0.0537
i,2458817.608,20.7002,0.1067
i,2458817.611,20.7227,0.1095
V,2458840.299,21.453,0.1155
V,2458840.304,21.6322,0.1324
r,2458840.309,20.459,0.061
r,2458840.314,20.3868,0.0569
i,2458840.319,20.9055,0.1353
i,2458840.324,21.1047,0.1706
