,mass,windscalar,alpha_MLT,alpha_semiconv,metallicity,hefrac,energy,ni56,csmvelo,csmrate,csmtime,progoptimize,csmoptimize,gridtag
0,10.0,0.0,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
1,10.0,0.1,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
2,10.0,0.2,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
3,10.0,0.3,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
4,10.0,0.4,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
5,10.0,0.5,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
6,10.0,0.0,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
7,10.0,0.1,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
8,10.0,0.2,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
9,10.0,0.3,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
10,10.0,0.4,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
11,10.0,0.5,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
12,10.0,0.0,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
13,10.0,0.1,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
14,10.0,0.2,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
15,10.0,0.3,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
16,10.0,0.4,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
17,10.0,0.5,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
18,10.0,0.0,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
19,10.0,0.1,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
20,10.0,0.2,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
21,10.0,0.3,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
22,10.0,0.4,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
23,10.0,0.5,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
24,10.0,0.0,1.5,10,0.0142,0.2703,5.0,0.02,10,0,0,0,0,Group1
25,10.0,0.1,1.5,10,0.0142,0.2703,5.0,0.02,10,0,0,0,0,Group1
26,10.0,0.2,1.5,10,0.0142,0.2703,5.0,0.02,10,0,0,0,0,Group1
27,10.0,0.3,1.5,10,0.0142,0.2703,5.0,0.02,10,0,0,0,0,Group1
28,10.0,0.4,1.5,10,0.0142,0.2703,5.0,0.02,10,0,0,0,0,Group1
29,10.0,0.5,1.5,10,0.0142,0.2703,5.0,0.02,10,0,0,0,0,Group1
30,12.0,0.0,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
31,12.0,0.1,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
32,12.0,0.2,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
33,12.0,0.3,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
34,12.0,0.4,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
35,12.0,0.5,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
36,12.0,0.0,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
37,12.0,0.1,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
38,12.0,0.2,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
39,12.0,0.3,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
40,12.0,0.4,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
41,12.0,0.5,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
42,12.0,0.0,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
43,12.0,0.1,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
44,12.0,0.2,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
45,12.0,0.3,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
46,12.0,0.4,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
47,12.0,0.5,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
48,12.0,0.0,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
49,12.0,0.1,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
50,12.0,0.2,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
51,12.0,0.3,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
52,12.0,0.4,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
53,12.0,0.5,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
54,12.0,0.0,1.5,10,0.0142,0.2703,5.0,0.02,10,0,0,0,0,Group1
55,12.0,0.1,1.5,10,0.0142,0.2703,5.0,0.02,10,0,0,0,0,Group1
56,12.0,0.2,1.5,10,0.0142,0.2703,5.0,0.02,10,0,0,0,0,Group1
57,12.0,0.3,1.5,10,0.0142,0.2703,5.0,0.02,10,0,0,0,0,Group1
58,12.0,0.4,1.5,10,0.0142,0.2703,5.0,0.02,10,0,0,0,0,Group1
59,12.0,0.5,1.5,10,0.0142,0.2703,5.0,0.02,10,0,0,0,0,Group1
60,14.0,0.0,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
61,14.0,0.1,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
62,14.0,0.2,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
63,14.0,0.3,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
64,14.0,0.4,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
65,14.0,0.5,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
66,14.0,0.0,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
67,14.0,0.1,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
68,14.0,0.2,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
69,14.0,0.3,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
70,14.0,0.4,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
71,14.0,0.5,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
72,14.0,0.0,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
73,14.0,0.1,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
74,14.0,0.2,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
75,14.0,0.3,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
76,14.0,0.4,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
77,14.0,0.5,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
78,14.0,0.0,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
79,14.0,0.1,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
80,14.0,0.2,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
81,14.0,0.3,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
82,14.0,0.4,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
83,14.0,0.5,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
84,14.0,0.0,1.5,10,0.0142,0.2703,5.0,0.02,10,0,0,0,0,Group1
85,14.0,0.1,1.5,10,0.0142,0.2703,5.0,0.02,10,0,0,0,0,Group1
86,14.0,0.2,1.5,10,0.0142,0.2703,5.0,0.02,10,0,0,0,0,Group1
87,14.0,0.3,1.5,10,0.0142,0.2703,5.0,0.02,10,0,0,0,0,Group1
88,14.0,0.4,1.5,10,0.0142,0.2703,5.0,0.02,10,0,0,0,0,Group1
89,14.0,0.5,1.5,10,0.0142,0.2703,5.0,0.02,10,0,0,0,0,Group1
90,16.0,0.0,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
91,16.0,0.1,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
92,16.0,0.2,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
93,16.0,0.3,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
94,16.0,0.4,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
95,16.0,0.5,1.5,10,0.0142,0.2703,1.0,0.02,10,0,0,0,0,Group1
96,16.0,0.0,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
97,16.0,0.1,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
98,16.0,0.2,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
99,16.0,0.3,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
100,16.0,0.4,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
101,16.0,0.5,1.5,10,0.0142,0.2703,2.0,0.02,10,0,0,0,0,Group1
102,16.0,0.0,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
103,16.0,0.1,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
104,16.0,0.2,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
105,16.0,0.3,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
106,16.0,0.4,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
107,16.0,0.5,1.5,10,0.0142,0.2703,3.0,0.02,10,0,0,0,0,Group1
108,16.0,0.0,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
109,16.0,0.1,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
110,16.0,0.2,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
111,16.0,0.3,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
112,16.0,0.4,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
113,16.0,0.5,1.5,10,0.0142,0.2703,4.0,0.02,10,0,0,0,0,Group1
114,16.0,0.0,1.5,10,0.0142,0.2703,5.0,0.02,10,0,0,0,0,Group1
