    153441
    0.1350 VVF   -2.670 0.5      0.000 1.5 74084400.00  26.25() 1s     ()10p    
    0.1350 VVF   -2.971 0.5      0.000 0.5 74084400.00  26.25() 1s     ()10p    
    0.1353 VVF   -2.529 0.5      0.000 1.5 73909500.00  26.25() 1s     () 9p    
    0.1353 VVF   -2.831 0.5      0.000 0.5 73909500.00  26.25() 1s     () 9p    
    0.1357 VVF   -2.373 0.5      0.000 1.5 73664800.00  26.25() 1s     () 8p    
    0.1357 VVF   -2.674 0.5      0.000 0.5 73664800.00  26.25() 1s     () 8p    
    0.1364 VVF   -2.192 0.5      0.000 1.5 73307700.00  26.25() 1s     () 7p    
    0.1364 VVF   -2.495 0.5      0.000 0.5 73307700.00  26.25() 1s     () 7p    
    0.1374 VVF   -1.983 0.5      0.000 1.5 72757100.00  26.25() 1s     () 6p    
    0.1374 VVF   -2.284 0.5      0.000 0.5 72757100.00  26.25() 1s     () 6p    
    0.1392 VVF   -1.730 0.5      0.000 1.5 71853900.00  26.25() 1s     () 5p    
    0.1392 VVF   -2.032 0.5      0.000 0.5 71843000.00  26.25() 1s     () 5p    
    0.1425 VVF   -1.413 0.5      0.000 1.5 70179300.00  26.25() 1s     () 4p    
    0.1425 VVF   -1.714 0.5      0.000 0.5 70157900.00  26.25() 1s     () 4p    
    0.1461 VVF   -1.556 0.0      0.000 1.0 68454700.00  26.241s2       1s 5p    
    0.1495 VVF   -1.237 0.0      0.000 1.0 66907500.00  26.241s2       1s 4p    
    0.1502 VVF   -0.977 0.5      0.000 1.5 66561500.00  26.25() 1s     () 3p    
    0.1504 VVF   -1.279 0.5      0.000 0.5 66510800.00  26.25() 1s     () 3p    
    0.1573 VVF   -0.807 0.0      0.000 1.0 63565760.00  26.241s2       1s 3p    
    0.1778 VVF   -0.256 0.5      0.000 1.5 56241600.00  26.25() 1s     () 2p    
    0.1784 VVF   -0.556 0.5      0.000 0.5 56070500.00  26.25() 1s     () 2p    
    0.1850 VVF   -0.098 0.0      0.000 1.0 54042420.00  26.241s2       1s 2p    
    0.2289 VVF   -2.670 0.5      0.000 1.5 43677400.00  20.19() 1s     ()10p    
    0.2289 VVF   -2.971 0.5      0.000 0.5 43677400.00  20.19() 1s     ()10p    
    0.2295 VVF   -2.529 0.5      0.000 1.5 43574120.00  20.19() 1s     () 9p    
    0.2295 VVF   -2.831 0.5      0.000 0.5 43574120.00  20.19() 1s     () 9p    
    0.2303 VVF   -2.373 0.5      0.000 1.5 43429690.00  20.19() 1s     () 8p    
    0.2303 VVF   -2.674 0.5      0.000 0.5 43429690.00  20.19() 1s     () 8p    
    0.2314 VVF   -2.192 0.5      0.000 1.5 43218950.00  20.19() 1s     () 7p    
